step	kind	target	field	old	new	reason
s37	condition_field	T3958「6馬召」C#0	unit_object	8	45117	6P本體換單位漏改（紅字）
s37	condition_field	T4197「6召」C#0	unit_object	8	45117	6P本體換單位漏改（紅字）
s37	condition_field	T4209「6哥8」C#0	unit_object	8	45117	6P本體換單位漏改（紅字）
s37	effect_field	T5091「」E#0	selected_object_ids	8	45117	暗刁6系統 6P本體漏改（紅字）
s37	condition_field	T5104「」C#7	unit_object	8	45117	暗刁6系統 6P本體漏改（紅字）
s37	condition_field	T5105「」C#7	unit_object	8	45117	暗刁6系統 6P本體漏改（紅字）
s37	effect_field	T3290「6 1-5Lv」E#3	source_player	5	6	6P升級的技能點錯發5P（進貢）
s37	effect_field	T2911「2孽」E#1	source_player	1	2	2P孽功的60銀兩錯發1P（進貢）
s37	condition_field	T3551「1林4」C#0	source_player	2	1	1P觸發錯看2P區域物件
s37	effect_field	T3782「2船」E#0	source_player	1	2	停止單位錯停1P
s37	effect_field	T3800「5船」E#0	source_player	8	5	停止單位錯停8P（同名第2支寫法正確sp=5可證）
s37	effect_field	T1674「4啞」E#0	source_player	5	4	聊天訊息錯發5P
s37	effect_field	T199「2教頭4」E#3	effect_type	9	8	學會御劍後應啟動「好好練習」迴圈（1/4/5/6P 為 ACT，2/3P 抄成 DEACT）
s37	effect_field	T203「3教頭4」E#3	effect_type	9	8	學會御槍後應啟動「好好練習」迴圈（同上）
s37	effect_field	T4533「棍333」E#0	source_player	3	4	馬騎棍俠技能訊息錯發3P
s37	effect_field	T4467「1毒」E#0	source_player	7	1	「中毒狀態」錯發7P（其餘座位皆發自己）
s37	effect_field	T4732「5失血」E#1	source_player	0	5	5P 英雄失血效果 sp 為 Gaia（其餘座位皆自己）
s37	effect_field	T3300「1 9」E#0	effect_type	9	8	1P 升到 9 級應啟動 6-10Lv 加成（其餘座位 ACT），抄成 DEACT 少一級加成
s37	effect_field	T1188「6林4」E#1	effect_type	8	9	6P 進區應停用 6林（其餘座位 DEACT），抄成 ACT 使 6林 不停
s37	effect_field	T2289「5拳92」E#5	effect_type	8	9	一次性觸發末尾應停用自己（其餘座位 DEACT），抄成 ACT 自己→每 5 秒重跑疊加攻擊
s37	effect_field	T3164「6狂死2」E#0	effect_type	8	9	狂 出口區應停用擊殺獎勵 6狂（狂死～狂死7 全部 DEACT），抄成 ACT 會白拿 542 閱歷
s37	effect_field	T3190「2狂死7」E#0	effect_type	8	9	同上（2P）
